tag	name	created_at	assets	downloads	asset_names
kernel-v0.14.2	Agentic SDLC kernel v0.14.2	2026-08-19T04:54:36Z	6	4	agentic-sdlc-v0.14.2-darwin-amd64.tar.gz,agentic-sdlc-v0.14.2-darwin-arm64.tar.gz,agentic-sdlc-v0.14.2-linux-amd64.tar.gz,agentic-sdlc-v0.14.2-linux-arm64.tar.gz,agentic-sdlc-v0.14.2-windows-amd64.zip,SHA256SUMS
kernel-v0.14.1	Agentic SDLC kernel v0.14.1	2026-08-18T06:15:30Z	6	4	agentic-sdlc-v0.14.1-darwin-amd64.tar.gz,agentic-sdlc-v0.14.1-darwin-arm64.tar.gz,agentic-sdlc-v0.14.1-linux-amd64.tar.gz,agentic-sdlc-v0.14.1-linux-arm64.tar.gz,agentic-sdlc-v0.14.1-windows-amd64.zip,SHA256SUMS
kernel-v0.13.3	Lifecycle kernel v0.13.3	2026-08-13T18:54:05Z	4	6	agentic-sdlc-sbom.spdx.json,agentic_sdlc-0.13.3-py3-none-any.whl,agentic_sdlc-0.13.3.tar.gz,SHA256SUMS
kernel-v0.13.2	Lifecycle kernel v0.13.2	2026-08-08T01:22:16Z	4	19	agentic-sdlc-sbom.spdx.json,agentic_sdlc-0.13.2-py3-none-any.whl,agentic_sdlc-0.13.2.tar.gz,SHA256SUMS
kernel-v0.13.1	Lifecycle kernel v0.13.1	2026-08-08T00:59:23Z	4	9	agentic-sdlc-sbom.spdx.json,agentic_sdlc-0.13.1-py3-none-any.whl,agentic_sdlc-0.13.1.tar.gz,SHA256SUMS
kernel-v0.13.0	Lifecycle kernel v0.13.0	2026-08-07T22:41:03Z	3	5	agentic_sdlc-0.13.0-py3-none-any.whl,agentic_sdlc-0.13.0.tar.gz,SHA256SUMS
